Salary Experience Education Manager
13876 1 HS Yes
11608 1 BS+ No
18701 1 BS+ Yes
11283 1 BS No
11767 1 BS+ No
20872 2 BS Yes
11772 2 BS No
10535 2 HS No
12195 2 BS+ No
12313 3 BS No
14975 3 HS Yes
21371 3 BS Yes
19800 3 BS+ Yes
11417 4 HS No
20263 4 BS+ Yes
13231 4 BS+ No
12884 4 BS No
13245 5 BS No
13677 5 BS+ No
15965 5 HS Yes
12336 6 HS No
21352 6 BS+ Yes
13839 6 BS No
22884 6 BS Yes
16978 7 HS Yes
14803 8 BS No
17404 8 HS Yes
22184 8 BS+ Yes
13548 8 HS No
14467 10 HS No
15942 10 BS No
23174 10 BS+ Yes
25410 11 BS Yes
14861 11 HS No
16882 12 BS No
24170 12 BS+ Yes
15990 13 HS No
26330 13 BS Yes
17949 14 BS No
25685 15 BS+ Yes
27837 16 BS Yes
18838 16 BS No
17483 16 HS No
19207 17 BS No
19346 20 HS No
